rna_RD001	rna_RD002	rna_RD003	rna_RD004	rna_RD005	rna_RD006	rna_RD007	rna_RD008	rna_RD009	rna_RD010	rna_RD011	rna_RD012	rna_RD013	rna_RD014	rna_RD015	rna_RD016	rna_RD017	rna_RD018	rna_RD019	rna_RD020	rna_RD021
ENSMUSG00000001034.17	20.05	1.32	8.73	15.19	5.98	36.27	19.17	25.12	16.39	4.09	0	9.69	0	14.93	3.28	13.62	0	13.13	14.82	9.19	4.96
ENSMUSG00000001036.17	2.64	3.78	1.93	2.88	10.44	1.31	7.07	3.22	3.78	4.11	1.17	0.53	1.51	3.08	0.36	0	0	0	0	0.54	1.05
ENSMUSG00000001039.12	7.39	5.69	2.68	7.66	0	5.3	0	2.23	5.8	8.45	2.16	6.54	5.97	13.4	0	0	0	2.69	0	4.46	0
ENSMUSG00000001052.15	6.44	20.09	1.18	20.71	5.59	15.5	24.24	10.19	2.54	0.37	13	5.12	1.42	3.33	0	0	0	0	0	0	0
ENSMUSG00000001053.15	2.42	0	1.77	1.74	0	2.4	0.93	0	0	2.5	1.43	0.97	0	0	2.59	2.95	0	0.88	1	2.01	0
ENSMUSG00000001054.9	9.41	21.45	14.64	24.38	15.1	16.84	10.71	22.81	15.9	4.12	1.18	3.99	0	22.12	3.34	1.12	0	17.68	21.55	11.69	27.77
ENSMUSG00000001056.3	2.7	2.87	2.95	5.78	10.52	7.94	2.32	3.69	2.9	5.53	0	2.44	0	6.71	2.21	0	0	2.95	0	0	3.45
ENSMUSG00000001062.18	0.7	0	5	0	3.98	0.52	1.59	0	0.75	2.07	8.48	1.79	2.98	0.87	3.63	0	0	0	0.79	0	0.81
ENSMUSG00000001065.15	76.63	42.76	62.43	39.76	62.69	58.98	25.11	42.1	59.68	2.82	13.67	5.63	3.54	6.9	4.7	18.52	0	11.54	34.43	8.6	11.25
ENSMUSG00000001076.7	1.36	0	0	0	1.41	0	0	1.24	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001082.12	1.35	0	0	7.51	0	11.07	0	0	0	0	0	4.63	0	0	0	0	0	0	0	0	0
ENSMUSG00000001089.14	3.45	4.23	3.78	6.38	7.11	2.6	3.4	8.37	1.06	1.02	0.67	0.59	0.22	1.25	0.4	0	0	0	0	0	0
ENSMUSG00000001095.5	0	0	0	0	0	0	0.91	0	0.85	0.82	0.7	3.8	0.68	0.99	0.65	0.89	0	0.87	0	0.98	0
ENSMUSG00000001098.15	13.32	4.55	15.81	14.36	10.09	12.18	8.23	5.53	11.7	2.12	1.07	0.73	0	3.02	0.5	0.68	0	2.65	0	2.38	2.63
ENSMUSG00000001100.10	9.44	27.25	12.97	15.34	15.7	17.11	10.62	9.54	8.1	4.16	2.22	3.04	2.96	0	0.78	7.15	0	0	0	3.91	1.94
ENSMUSG00000001103.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001105.15	10.95	23.39	11.98	19.59	32.29	20.24	20.86	13.8	21.54	8.32	4.83	13.17	9.37	11.34	4.5	2.05	0	7.98	4.51	9.06	10.12
ENSMUSG00000001119.7	7.06	22.49	13.16	40.15	6.59	11.46	23.33	8	3.88	0.47	0	0	0	0	0	0	0	2.56	0	0	8.97
ENSMUSG00000001120.15	18.32	4.28	3.52	24.2	1.18	2.83	0	9.05	8.69	0	3.55	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001123.15	0	4.18	2.14	10.51	10.15	6.82	8.96	5.99	2.82	2.01	0	0	0	1.63	0	0	0	4.28	3.25	2.43	0
ENSMUSG00000001127.12	7.92	10.16	3.46	2.88	12.37	10.21	5.23	7.9	0	4.05	0	5.41	4.08	5.73	0	0	0	0	0	0	0.99
ENSMUSG00000001128.7	0	0	1.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001131.11	10.67	0	0	2.85	2.76	0	5.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001134.9	10.99	8.18	8.45	8.06	9.11	10.03	0	3.41	0	7.88	0	9.13	12.72	18.64	0	0	0	0	0	8.95	0
ENSMUSG00000001138.13	2.55	0.76	2.79	1.15	2.58	1.06	5.06	0	0.76	0	0	3.08	0	0	0	2.88	0	0	3.15	0.88	0
ENSMUSG00000001143.13	1.77	0	0.97	0	5.15	4.09	1.27	0.81	0	3.47	2.99	0.66	0	0	0	0	0	0	1.1	0	0
ENSMUSG00000001150.7	11.06	0.61	1.25	0.31	8.1	13.83	14.58	14.48	0.3	0	0	0	0	0	0	0	96.3	0.31	0	0	0
ENSMUSG00000001151.10	11.09	6.14	1.36	2.86	2.43	3.77	1.64	0.36	5.81	1.98	0	7.58	1.52	1.55	6.95	0.6	0	0	1.06	1.3	0
ENSMUSG00000001155.13	0.65	6.26	0.71	4.88	2.7	1.93	12.64	1.77	3.47	0	0	0	0	0.81	0	0	0	0.71	1.25	0	4.1
ENSMUSG00000001156.9	0	0.85	1.23	0	0	0.59	0	6.26	0	0	0	0.47	0.34	0	0	0	0	0	0	0	0
ENSMUSG00000001157.13	0	0.69	0.7	0	2.66	1.5	0.73	7.55	0	0	0	0.77	0	2.79	0.53	0	0	0	0	0	0
ENSMUSG00000001158.13	34.64	18.45	18.92	37.1	35.83	32.8	31.07	33.32	14.55	19.76	17.43	2.98	2.11	18.45	19.78	9.81	0	19.88	0	6.14	11.14
ENSMUSG00000001166.17	0.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.26	0	0	0	0	0
ENSMUSG00000001168.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54	0	2.87	0
ENSMUSG00000001173.15	1.31	1.39	2.96	3.03	7.22	1.45	5.43	3.73	0.7	0	0	0.78	0.55	0	0	0	0	0	0	0	0
ENSMUSG00000001175.14	83.06	65.05	46.64	79.78	82.73	92.24	118.27	74.96	31.53	71.47	15.95	23.28	3.3	31.09	14.53	19.17	0	1.53	5.18	10.35	0.59
ENSMUSG00000001211.15	3.36	16.83	4.69	16.74	16.86	15.8	2.44	4.17	3.32	7.62	8.52	10.93	2.62	10.28	3.19	2.32	0	4.63	0	5.31	14.35
ENSMUSG00000001225.12	0	1.16	0	0	0	3.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001227.11	0	0	0	0	0	0.37	0	0.91	1.07	0	0	0	0	0	0	1.12	0	0	0	0	0
ENSMUSG00000001228.14	5.2	9.47	1.21	7.52	9.37	14.26	2.99	7.19	15.7	0	0	0	0	0	0	0	0	0.6	0	0	0
ENSMUSG00000001229.8	2.22	0.6	1.83	2.39	2.31	1.65	1.91	1.01	0.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001240.13	14	7.18	7.4	14.46	9.44	9.22	2.01	19.6	20.27	0	0	19.89	0	9.09	0	0	0	1.92	0	0	0
ENSMUSG00000001247.16	5.74	5.01	8.05	6.51	8.43	14.87	6.54	5.52	8.95	6.04	1.73	2.42	3.46	4.77	0	0	0	2.14	0	2.44	2.5
ENSMUSG00000001248.15	13.78	12.09	3.8	0	5.78	2.42	7.13	7.41	0	3.04	0	0	2.54	0	0	0	0	2.92	0	0.93	0
ENSMUSG00000001249.14	4.3	6.96	1.24	11.22	4.02	4.19	2.15	0.97	0	3.3	4.15	6.42	3.32	7.02	9.37	2.53	0	1.17	0	0	0
ENSMUSG00000001260.10	0	1.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001270.9	0	2.92	1.49	3.66	5.25	10.78	7.8	3.72	0	5.6	10.76	11.64	3.13	7.13	3.29	3.06	0	4	15.3	0	12.08
ENSMUSG00000001280.13	0.6	2.59	1.3	2.58	2.69	1.22	3.91	2.14	1.29	0	0.53	0	0.4	0	0	0	0	0	0.29	0	0
ENSMUSG00000001281.10	0	0	0	6.48	0	4.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001285.12	14.4	0	0	5.21	7.3	4.94	5.54	5.95	3.61	6.78	0	5.26	0	0	1.94	0	0	0	0	0	0
ENSMUSG00000001288.15	0.7	4.96	5.06	2.48	9.75	6.83	0	2.1	0	0.72	2.04	0.84	0	5.76	0	0	0	0	0	2.88	0
ENSMUSG00000001289.12	94.71	128.06	105	125.75	106.63	176.5	71.2	80.51	76.15	100.76	26.34	109.58	15.24	81.64	24.17	20.3	0	12.97	14.6	22.16	27.44
ENSMUSG00000001300.16	2.31	2.48	3.63	2.49	14.51	8.56	4.1	6.11	0.41	0	0.34	0.46	0.33	0	0.32	0	0	1.47	0	0	0
ENSMUSG00000001305.5	13.86	11.53	16.87	19.86	11.19	10.27	8.81	11.22	13.23	3.17	0	0	0	1.92	2.53	0	0	1.68	1.91	1.91	0
ENSMUSG00000001313.12	34.41	62.65	81.4	73.88	69.13	102.34	76.21	84.85	60.29	17.89	14.13	22.57	22.82	33.24	30.69	63.34	116.44	590.39	452.54	455	501.9
ENSMUSG00000001323.17	190.16	187.72	186.76	148.9	160.3	145.13	224.47	173.7	189.56	65.64	51.88	45.5	78.17	75.39	47.3	78.2	29.25	175.27	189.77	163.47	176.77
ENSMUSG00000001333.9	71.64	100.14	107.43	111.39	101.53	92.55	100.82	94.21	113.8	21.66	15.67	16.58	19.59	17.16	16.73	16.44	0	29.52	28.43	35.69	36.9
ENSMUSG00000001334.9	0	0	0	1.48	0	2.04	2.36	1.25	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001348.15	0	1.49	0	0	1.56	0	1.59	1.29	0	0	21.17	12.82	1.22	1.87	7.37	0	0	0	0	0	0
ENSMUSG00000001349.5	7.3	8.63	0	1.8	16.37	5.37	4.36	7.46	0	0	0	0	0	1	0	0	0	0.88	0	0	1.02
ENSMUSG00000001366.14	3.38	1.84	10.11	1.14	14.21	12.69	2.05	8.92	1.84	6.23	3.17	0	0.91	2.63	2.82	1	0	1.88	0	0	0
ENSMUSG00000001376.17	4.09	0	1.23	3.65	0	13.15	1.35	2	0	0	0	1.32	0	0	0.9	0	0	0	0	0	0
ENSMUSG00000001380.6	4.88	2.09	2.14	10.52	5.08	7.26	4.48	3.56	3.15	1.01	1.73	2.35	0	1.22	0	0	0	2.14	1.21	1.21	0
ENSMUSG00000001383.8	11.06	15.51	11.2	19.24	18.58	25.31	22.45	22.52	7.31	8.76	2.25	3.06	2.19	7.41	2.8	3.81	0	5.58	1.05	1.06	1.08
ENSMUSG00000001403.13	2.22	714.29	10.49	56.77	13.8	30.19	2.54	0.8	2.38	0	0	0	1.51	0	0	0	0	0	1.09	1.09	0
ENSMUSG00000001415.10	2.08	2.11	3.93	7.04	5.19	7.96	5.85	4.3	3.51	1.29	0	0.5	1.04	4.06	1.37	0.46	0	0.45	2.06	0	1.05
ENSMUSG00000001416.13	31.7	16.09	40.95	32.47	54.06	55.07	28.64	27.31	18.12	4.77	7.15	8.62	4.97	4.05	5.34	0	0	3.04	7.11	2.93	1.36
ENSMUSG00000001418.13	49.16	19.34	37.12	15.15	30.54	27.81	23.71	28.09	36.75	38.95	24.44	36.84	20.38	38.79	27.14	40.28	19.26	123.93	27.21	50.13	63.37
ENSMUSG00000001419.17	10.87	6.94	7.84	6.6	15.44	10.39	5.47	6.53	13.49	16.83	11.12	20.77	10.81	23.69	18.21	18.63	29.83	2.6	7.24	3.8	3.87
ENSMUSG00000001420.13	50.49	47.72	44.44	52.19	53.7	45.49	53.75	31.18	57.11	11.46	18.24	21.92	27.96	30.63	16.35	17.8	20.64	103.4	122	100.56	106.75
ENSMUSG00000001424.14	2.68	7.81	9.83	20.29	12.26	11.77	12.53	7.71	11.19	3.32	8.26	0.64	0.46	0	0.44	3.64	0	0	0.63	0	0
ENSMUSG00000001435.15	13	14.03	16.96	22.58	24.81	35.02	29.24	11.73	17.04	3.56	3.53	2.88	5	6.78	2.4	5.28	7.97	8.26	7.49	4.51	4.6
ENSMUSG00000001436.15	26.47	18.18	14.93	18.52	6.23	8.05	2.85	9.17	7.35	0	0	18.76	4.34	3.35	0	7.74	0	3.74	0	0	0
ENSMUSG00000001440.5	24.36	17.94	27.17	14.08	23.95	23.69	27.26	17.22	2.67	3.18	3.08	2.23	6.45	1.16	0.51	3.87	0	1.02	0.39	0.39	0.39
ENSMUSG00000001441.13	1.76	6.08	9.65	7.72	5.73	9.01	6.54	6.04	7.31	3.86	2.49	0	2.62	3.16	0	0.49	0	0	9.12	4.52	0
ENSMUSG00000001444.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001445.10	16.15	6.18	5.06	7.45	16.78	6.85	9.26	7.36	6.19	8.31	5.35	6.93	3.12	12.92	11.28	2.59	0	10.1	17.32	13.35	4.39
ENSMUSG00000001467.5	8.16	3.6	1.56	4.59	5.9	5.99	7.06	2.59	1.01	18.38	16.47	14.34	5.31	10.65	7.99	8.99	0	1.03	0.59	0.59	3.59
ENSMUSG00000001472.17	126.31	177.7	93.82	28.55	28.48	95.45	63.1	72.08	136.66	151.38	1.3	113.8	25.18	114.71	24.53	75.45	0	33.16	1.32	117.52	0
ENSMUSG00000001473.6	31.3	17.97	51.48	18.05	32.53	49.81	24.35	36.7	26.4	39.13	41.46	41.63	13.43	12.52	51.52	21.32	24.47	36.69	41.53	59.69	45.43
ENSMUSG00000001482.15	0.6	1.09	3.44	6.72	1.25	6.35	2.76	1.1	1.89	0.62	3.47	1.41	0.52	6.94	0	8.67	0	0	0	0	0
ENSMUSG00000001493.9	1.73	5.55	2.84	7.43	1.79	2.57	1.98	3.15	0.93	3.55	1.52	0	0	1.07	0	0	0	0	0	0	0
ENSMUSG00000001494.6	0	0	0	1.01	0.97	0	0	0.85	0	0	0	2.25	0	0	0	0	0	0	0	0	0
ENSMUSG00000001496.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001497.18	0	0	0	0.47	0.46	0	1.01	0	0	1.35	1.18	1.07	3.44	0.55	2.93	3.98	0	0.49	1.08	1.09	0
ENSMUSG00000001504.10	10.77	2.33	0	6.23	0.75	4.18	9.84	0.66	6.71	0.75	0.64	0.87	0	0	0.6	0	0	0	0	0	0
ENSMUSG00000001506.10	8.55	9.62	3.05	84.24	9	20.78	14.9	10.16	1.33	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001507.16	3.16	5.62	4.99	4.28	2.45	3.51	3.11	2.18	4.21	0.82	0.35	0	0	0.5	0.62	0.44	0	0.44	0.49	1.46	0
ENSMUSG00000001508.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001510.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001517.14	0.86	10.55	3.27	5.42	1.54	3.98	1.8	4.11	3.17	0	0	0	1.46	0	0	0	0	0	0	0	0
ENSMUSG00000001518.12	6.9	10.77	7.66	1.79	3.06	6.15	4.34	14.77	16.15	0.85	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001520.12	11.94	24.99	13.88	12.39	8.98	11.57	11.55	15.09	11.72	1.19	3.56	8.05	7.38	7.72	2.37	5.79	0	3.28	3.56	1.43	5.1
ENSMUSG00000001521.12	1.11	4.14	2.44	6.46	4.04	2.63	1.91	2.84	2.75	0	0	0	0.62	0.69	0	0.62	0	0	0	0	0
ENSMUSG00000001524.14	14.15	7.55	6.01	5.06	18.11	15.65	10.98	6.42	2.53	7.82	0	0	0	2.93	0	7.97	0	0	2.92	0	3.01
ENSMUSG00000001525.10	56.23	76.71	60.34	101.05	98.27	89.68	55.93	48.8	25.03	2.95	3.16	2.58	6.77	7.27	2.95	9.39	0	5.96	1.78	6.72	1.82
ENSMUSG00000001542.7	1.69	4.94	0.46	2.73	0.88	2	5.62	1.54	2.64	9.99	4.64	1.62	1.27	3.15	0.35	1.42	0	0.46	0	0	1.07
ENSMUSG00000001552.14	17.14	15.78	11.27	27.3	22.67	20.68	5.52	27.45	3.21	9.47	16.99	11.68	2.87	13.71	8.02	0	0	0.71	4.68	1.99	6.8
ENSMUSG00000001555.10	26.54	15.31	24.9	17.35	38.46	24.44	30.68	13.15	6.93	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001558.5	2.32	2.48	0	0	0	1.71	0	0	0	0	0	0	0	0	0	0	0	0	2.87	0	0
ENSMUSG00000001566.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001569.10	0.98	0.85	0.43	10.21	1.64	1.32	0.45	1.44	0.42	0.41	0.35	0.24	0.17	0	0.32	0	0	0	0	0	0
ENSMUSG00000001576.14	4.89	8.94	9.28	24.28	12.68	6.14	6.81	5.55	5.94	4.22	5.46	0	0	2.47	3.46	0.77	0	0.75	0	0.85	0
ENSMUSG00000001583.13	10.9	7.31	9.72	8.07	6.38	12.67	7.82	7.46	12.43	2.11	3.01	0.82	4.1	0	2.81	1.53	17.07	0	5.06	6.76	4.32
ENSMUSG00000001588.12	0	0.68	0	0	0	0.94	0	0	0.68	0.65	0	0	0.54	2.37	0	0.71	0	0	0	0.79	0.8
ENSMUSG00000001604.14	4.87	1.75	4.2	2.61	0	4.04	4.38	0	0	13.89	10.75	11.83	6.74	6.12	9.43	4.99	0	0	0	0	0
ENSMUSG00000001622.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001627.12	13.53	4.2	17.71	3.84	19.02	8.84	15.63	12.43	21.66	12.32	3.55	0	3.82	10.02	3.3	13.61	0	8.82	0	9.91	5.18
ENSMUSG00000001630.13	1.22	0.97	0	0.91	1.76	0	0	0.37	0	0	0.75	0	1.05	0	0	0	0	0	0	0	0
ENSMUSG00000001632.16	4.57	3.23	2.54	3.17	5.77	3.89	2.85	2.82	0.41	1.42	0.99	1.65	2.45	3.34	0.92	0.77	0	0.89	0.51	1.71	3.72
ENSMUSG00000001642.18	20.65	25.5	23.96	18.96	25.49	21.89	8.34	15.73	7.12	4.5	7.71	5.25	0	3.26	1.2	25.1	0	2.86	5.63	5.29	17.37
ENSMUSG00000001655.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001656.3	13.42	2.06	3.16	4.13	1.99	4.99	6.6	7.87	9.26	0.99	0	0	1.65	0	1.58	0	0	0	0	0	0
ENSMUSG00000001657.7	6.92	4.64	3.8	4.66	2.7	3.88	2.98	3.16	2.78	1.08	0	0	0	0	1.42	0	0	0	0	0	0
ENSMUSG00000001661.5	0	1.35	1.38	1.35	3.92	1.87	4.22	1.15	2.62	4.99	0	1.51	3.16	4.59	1.03	0	0	0	4.57	0	0
ENSMUSG00000001663.10	5.7	2.18	4.47	0	0	1.51	6.61	5.57	2.19	16.47	1.67	4.92	3.37	13.81	0	5.13	0	0	0	7.32	0
ENSMUSG00000001665.11	7.78	8.73	0	8.53	4.32	0	0	1.89	4.39	7.66	1.8	10.32	0.89	9.66	2.79	0	0	0	4.21	0	0
ENSMUSG00000001666.8	8.7	4.6	4.01	11.77	11.37	7.1	8.36	3.32	4.67	30.04	9.24	15.79	0	31.99	3.01	0	0	4.75	0	0	0
ENSMUSG00000001670.13	0	1.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001672.14	4.17	1.63	0	3.28	0	13.17	5.18	1.39	6.55	8.64	16.06	15.25	2.87	11.35	7.57	25.29	0	14.98	5.63	5.32	1.94
ENSMUSG00000001674.11	21.25	12.74	5.6	9.16	11.5	21.16	7.81	5.43	5.5	3.5	2.26	6.45	10.48	6.26	3.18	0	0	0.93	1.05	7.72	0
ENSMUSG00000001687.15	1.94	6.24	1.65	6.26	4.56	16.46	5.19	7.95	0	10.13	0.66	5.19	0	0	0.62	15.84	0	0	1.16	0	0
ENSMUSG00000001700.9	0.73	1.57	1.6	3.14	0.76	2.71	2.51	0	0.78	0.75	0	0	0	0.91	0.6	0.82	0	0.8	0	0.91	0.92
ENSMUSG00000001707.8	0	5.1	5.25	0	5.48	6.79	0.86	8.7	0	0	0	0	0	0	0	5.49	0	0	0	0	0
ENSMUSG00000001729.14	25.88	32.26	23.21	18.82	35.47	37.38	17.66	16.6	16.72	15.65	2.93	3.37	1.95	8.69	1.75	0.79	0	0	0	8.9	10.48
ENSMUSG00000001739.14	0	0	0	0	1.1	0	0	0.96	0	1.09	0	0	0	1.31	0	0	0	0	0	0	0
ENSMUSG00000001741.12	2.55	8.37	5.83	7.09	4.22	3.61	2.93	3.32	2.68	2.75	1.56	3.7	4.21	1.3	1.46	1.32	0	0	0.73	0.73	0
ENSMUSG00000001750.15	3.38	6.19	3	0	0	1.23	3.84	5.34	1.97	0	0	4.08	0	0	0	0	0	1.82	0.98	0	0
ENSMUSG00000001751.9	0.74	0	3.26	0.8	0.77	1.66	0.85	0.68	0	2.33	0	0.89	0.64	3.72	1.22	2.77	0	0	0	0	0.94
ENSMUSG00000001755.12	3.08	0.97	1.98	3.89	3.21	4.05	0	1.65	0.97	8.72	4.68	3.06	1.38	3.99	1.98	2.97	0	0	1.12	0	0
ENSMUSG00000001761.7	3.94	2.64	3.24	5.84	4.61	7.54	2.83	2.25	2.11	1.52	0	0	0	1.97	0	0	0	0.83	0	0	0
ENSMUSG00000001763.14	1.96	0	2.15	1.06	1.02	0	2.23	0.9	0	0	0	1.18	0.84	0	0.8	0	0	0	1.22	0	0
ENSMUSG00000001767.5	4.73	6.77	1.2	3.61	6.72	2.84	2.51	3.49	0.59	0.56	1.45	0.65	0.94	0	1.8	1.83	0	0.6	0	0.68	0
ENSMUSG00000001768.15	9.42	3.85	0.87	3	2.48	5.03	7.4	6.69	2.13	5.47	3.16	1.43	1.37	1.48	0.66	0.89	17.44	0	0	0.49	0
ENSMUSG00000001773.14	0	0	0	0	0	0	0	0	0	7.44	2.13	4.58	3.9	5.83	0.62	2.54	0	0	0	0	0
ENSMUSG00000001774.8	2.21	0.34	5.27	0	7.38	14.81	4.2	4.87	0.68	4.85	0	0	0.27	0	0.26	0	0	0	1.57	0	0.4
ENSMUSG00000001783.3	15.44	14.49	11.64	13.51	24.09	21.52	12.18	14.09	6.22	5.96	1.7	1.16	2.48	6	1.59	0	21.14	0	2.66	0	0
ENSMUSG00000001785.13	1.48	6.51	7.21	4.91	17.58	6.81	5.94	7.4	2.67	1.69	3.36	2.91	0	4.02	0	0	0	0	0.92	0	4.28
ENSMUSG00000001786.14	60.35	38.98	33.86	65.24	39.4	35.18	42.94	22.68	31.81	22.53	22.75	25.71	29.84	19.81	22.8	31.42	17.11	8.96	11.6	9.2	6.91
ENSMUSG00000001794.13	30.83	21.23	23.77	30.72	50.63	41.07	35.24	22.55	23.54	28.21	4.59	1.69	4.45	10.86	8.47	14.63	0	0	0	6.46	6.7
ENSMUSG00000001802.16	1.85	7.29	1.01	4.98	1.92	0.71	4.09	0.44	2.4	1.91	8.48	1.11	9.03	8.61	16.94	0	0	8.08	0	0	0
ENSMUSG00000001804.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001815.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001819.4	0	0	0	0	0	0	0.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001823.5	0.75	0.81	0	0	0	0.56	2.59	0.69	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001827.12	4.48	11.42	5.61	16.25	10.33	8.28	2.33	14.38	2.41	45.63	16.2	35.8	4.95	18.34	13.47	3.03	0	0	4.61	0	0
ENSMUSG00000001829.17	4.19	3.2	10.28	11.6	11.99	3.53	7.77	2.77	3.37	0.86	2.73	1.01	0.75	0	0	3.55	0	0	0	0	3.97
ENSMUSG00000001833.17	21.94	13	19.94	22.67	39.38	36.26	35.5	20.04	8.94	7.69	4.68	2.72	3.6	6.59	4.9	3.39	0	0	0.94	0	0
ENSMUSG00000001844.10	0	0	3.06	0	7.03	2.51	7.21	0	9.44	0	2.91	0	0	8.14	0	0	0	0	0	0	0
ENSMUSG00000001847.14	33.86	21.54	21.53	22.59	21.34	39.26	23.55	25.25	21.52	25.28	22.84	29.38	23.75	26.62	20.93	47.37	48.87	109.7	94.99	74.66	111.73
ENSMUSG00000001855.15	1.05	0.56	16.47	19.8	2.37	4.58	0	0	0	0	0.24	0	0.45	4.77	0	0	0	0	0	0	0
ENSMUSG00000001864.13	51.37	7.77	22.93	15.8	90.18	21.16	19.86	6.06	20.26	34.13	2.43	71.63	6.04	21.07	2.37	3.89	0	17.15	3.9	2.25	23.84
ENSMUSG00000001865.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001870.15	5.57	4.99	4.71	4.79	7.88	6.48	6.62	4.59	1.47	0	0.65	0	0.49	0	0.31	0	0	0	0	0	0
ENSMUSG00000001891.16	4.95	10.31	5	6.12	11.18	22.58	10.19	12.06	0.76	10.8	2.51	18.89	10.36	5.62	4.4	4.25	0	2.07	1.17	0.88	0.9
ENSMUSG00000001901.15	0.56	1.19	0	0.6	0.58	0.41	0.77	0.61	0	0	0	0.81	0	0	0	0	0	0	0	0	0
ENSMUSG00000001909.15	7.27	26.93	5.76	21.11	17.74	33.33	7.23	18.15	10.75	6.72	4.62	0	0	16.92	0	0	0	22.15	6.66	6.56	0
ENSMUSG00000001910.4	5.16	3.24	3.31	6.5	7.17	8.66	1.98	5.51	3.23	3.55	0.76	3.1	2.59	3.75	1.77	2.41	0	0.47	0.53	1.07	0.55
ENSMUSG00000001911.16	6.94	5.76	5.74	7	2.79	3.25	4.62	3.06	3.24	0.69	0.59	0.4	0	28.35	0.28	0.75	31.44	3.08	3.56	11.28	0.42
ENSMUSG00000001918.17	2.02	4.58	0.75	6.47	9.23	8.42	0.77	5.2	0	2.12	0.6	0.82	0.59	1.7	0	7.95	0	0	0.85	0.84	0.87
ENSMUSG00000001924.15	9.11	4.41	5	22.47	7.12	17.35	16.08	8.33	2.93	4.51	2.65	4.54	2.75	5.29	0.38	4.83	0	2.99	3.95	0.57	1.15
ENSMUSG00000001930.17	0	0	0	0.22	0	1	6.87	0.64	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001942.8	121.15	147.58	114.85	129.66	126.37	115.15	121.03	112.96	143.77	59.51	32.24	78.37	40.48	74.85	47.86	60.98	32.66	100.99	119.02	125.64	143.7
ENSMUSG00000001943.8	7.89	4.52	2.84	0	0	1.91	4.01	0	3.79	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001946.14	27.87	7.43	0	2.25	0	3.57	4.04	0	1.12	0	0	0	0	4.79	0.86	0	0	0	0	0	0
ENSMUSG00000001948.10	0	0	0	7.16	3.46	4.92	7.63	2.85	3.38	0	2.95	0	0	12.5	0	0	0	0	0	0	0
ENSMUSG00000001962.8	8.77	4.69	8.01	12.57	16.69	30.56	8.37	23.71	3.14	3.01	1.29	5.27	0	1.82	1.2	4.92	0	9.59	5.43	7.26	7.43
ENSMUSG00000001964.14	0	9.42	8.63	4.18	3.77	9.2	16.82	0	6.19	3.02	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001983.7	7.31	0	8.01	1.57	6.07	2.17	8.37	2.66	1.57	7.51	3.87	8.78	1.25	5.45	1.2	1.64	0	4.8	7.24	3.63	5.57
ENSMUSG00000001985.9	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001986.16	0	5.92	0.78	0.38	0.74	0.53	0.41	0.65	0	0	0	0	0.3	0	0	0	0	0	0	0	0
